THE	53097401461
OF	30966074232
AND	22632024504
TO	19347398077
IN	16891065263
A	15310087895
IS	8384246685
THAT	8000768228
FOR	6545282031
IT	5740085369
AS	5700645258
WAS	5502713968
WITH	5182797249
BE	4818864785
BY	4703106084
ON	4594521081
NOT	4522732626
HE	4110457083
I	3884828634
THIS	3826060334
ARE	3700433333
OR	3667713965
HIS	3611377789
FROM	3469207674
AT	3413452256
WHICH	3140226612
BUT	2792350185
HAVE	2777439117
AN	2726250863
HAD	2616021603
THEY	2462131290
YOU	2337737641
WERE	2270487439
THEIR	2152980325
ONE	2148983086
ALL	2062779102
WE	2057296224
CAN	1665414118
HER	1633278704
HAS	1632148758
THERE	1623700147
BEEN	1619043628
IF	1564986692
MORE	1547251508
WHEN	1519738651
WILL	1485140664
WOULD	1472811049
SO	1449153410
NO	1400645478
SHE	1392695717
OTHER	1383185827
ITS	1369438835
MAY	1318050430
THESE	1305787385
WHAT	1222533828
THEM	1199636039
THAN	1185020453
SOME	1182318418
HIM	1180769747
TIME	1167810273
INTO	1144226142
ONLY	1135235700
DO	1116608183
SUCH	1100072478
MY	1082298016
NEW	1073292865
ABOUT	1070877995
OUT	1048211344
ALSO	1038616504
TWO	1034082956
ANY	983649138
